
0.29066894692202566, Z: 5 of [[1, 1], [0, 1]], Spread: 1.75
0.3059829851221671, Z: 5 of [[1, 1], [0, 1]], Spread: 1.75
0.2914568202104452, Z: 5 of [[1, 1], [0, 1]], Spread: 1.75
0.314040126074541, Z: 5 of [[1, 1], [0, 1]], Spread: 1.75
0.3282232341601265, Z: 5 of [[1, 1], [0, 1]], Spread: 1.75
0.3244064052089082, Z: 5 of [[1, 1], [0, 1]], Spread: 1.75
0.32806317801177043, Z: 5 of [[1, 1], [0, 1]], Spread: 1.75
0.31466307282619566, Z: 5 of [[1, 1], [0, 1]], Spread: 1.75

0.6284217348953144, Z: 5 of [[1, 0], [0, 1]], Spread: 1.75
0.6283080122518973, Z: 5 of [[1, 0], [0, 1]], Spread: 1.75
0.6435064389127367, Z: 5 of [[1, 0], [0, 1]], Spread: 1.75
0.5944240904595943, Z: 5 of [[1, 0], [0, 1]], Spread: 1.75
0.6368630069000255, Z: 5 of [[1, 0], [0, 1]], Spread: 1.75
0.6125606761506525, Z: 5 of [[1, 0], [0, 1]], Spread: 1.75
0.618803810384483, Z: 5 of [[1, 0], [0, 1]], Spread: 1.75
0.6176305838169771, Z: 5 of [[1, 0], [0, 1]], Spread: 1.75
______________________

0.24723730329659657, Z: 12 of [[1, 1], [0, 1]], Spread: 1.75
0.25558044762305704, Z: 12 of [[1, 1], [0, 1]], Spread: 1.75
0.3061669164875508, Z: 12 of [[1, 1], [0, 1]], Spread: 1.75
0.3210920103459231, Z: 12 of [[1, 1], [0, 1]], Spread: 1.75
0.29981885735379266, Z: 12 of [[1, 1], [0, 1]], Spread: 1.75
0.32423736343056414, Z: 12 of [[1, 1], [0, 1]], Spread: 1.75
0.2654355220605755, Z: 12 of [[1, 1], [0, 1]], Spread: 1.75
0.2676167737092442, Z: 12 of [[1, 1], [0, 1]], Spread: 1.75

0.7026216095039035, Z: 12 of [[1, 0], [0, 1]], Spread: 1.75
0.6950674823744203, Z: 12 of [[1, 0], [0, 1]], Spread: 1.75
0.7093454062689944, Z: 12 of [[1, 0], [0, 1]], Spread: 1.75
0.7268675101317248, Z: 12 of [[1, 0], [0, 1]], Spread: 1.75
0.7315937911395557, Z: 12 of [[1, 0], [0, 1]], Spread: 1.75
0.7176633158054906, Z: 12 of [[1, 0], [0, 1]], Spread: 1.75
0.731284733281934, Z: 12 of [[1, 0], [0, 1]], Spread: 1.75
0.7105612929739246, Z: 12 of [[1, 0], [0, 1]], Spread: 1.75
___________________
0.5638227497981466, Z: 25 of [[1, 0], [0, 1]], Spread: 1.75
0.6446904777072423, Z: 25 of [[1, 0], [0, 1]], Spread: 1.75
0.6269232601722976, Z: 25 of [[1, 0], [0, 1]], Spread: 1.75
0.5821249387032497, Z: 25 of [[1, 0], [0, 1]], Spread: 1.75
0.654946532937281, Z: 25 of [[1, 0], [0, 1]], Spread: 1.75
0.6541845524781665, Z: 25 of [[1, 0], [0, 1]], Spread: 1.75
0.6534811517122349, Z: 25 of [[1, 0], [0, 1]], Spread: 1.75
0.6240828065393077, Z: 25 of [[1, 0], [0, 1]], Spread: 1.75
____________________
0.31610185149519626, Z: 50 of [[1, 0], [0, 1]], Spread: 1.75
0.3244678923547582, Z: 50 of [[1, 0], [0, 1]], Spread: 1.75
0.33309729146141825, Z: 50 of [[1, 0], [0, 1]], Spread: 1.75
0.0013342743279579849, Z: 50 of [[1, 0], [0, 1]], Spread: 1.75
0.001260713042318832, Z: 50 of [[1, 0], [0, 1]], Spread: 1.75
0.12920256631530605, Z: 50 of [[1, 0], [0, 1]], Spread: 1.75
0.4183849384069512, Z: 50 of [[1, 0], [0, 1]], Spread: 1.75
0.06758160504892628, Z: 50 of [[1, 0], [0, 1]], Spread: 1.75
____________________
0.0008575690885692124, Z: 70 of [[1, 0], [0, 1]], Spread: 1.75
0.0008589234069912233, Z: 70 of [[1, 0], [0, 1]], Spread: 1.75
0.0009217944320373651, Z: 70 of [[1, 0], [0, 1]], Spread: 1.75
0.0009109071631823124, Z: 70 of [[1, 0], [0, 1]], Spread: 1.75
0.0008610347227061848, Z: 70 of [[1, 0], [0, 1]], Spread: 1.75
0.0009284375273528103, Z: 70 of [[1, 0], [0, 1]], Spread: 1.75
0.0008600579581012769, Z: 70 of [[1, 0], [0, 1]], Spread: 1.75
0.0008995317954736173, Z: 70 of [[1, 0], [0, 1]], Spread: 1.75
____________________
0.000729707737204089, Z: 90 of [[1, 0], [0, 1]], Spread: 1.75
0.0006932993742340478, Z: 90 of [[1, 0], [0, 1]], Spread: 1.75
0.0007339409647204519, Z: 90 of [[1, 0], [0, 1]], Spread: 1.75
0.0007041284439326894, Z: 90 of [[1, 0], [0, 1]], Spread: 1.75
0.0007331371178881161, Z: 90 of [[1, 0], [0, 1]], Spread: 1.75
0.000735724014050767, Z: 90 of [[1, 0], [0, 1]], Spread: 1.75
0.000706596912149052, Z: 90 of [[1, 0], [0, 1]], Spread: 1.75
0.000739587325704013, Z: 90 of [[1, 0], [0, 1]], Spread: 1.75
____________________
