Spread = 1.0

________________
0.001204679802955665, Z: 50 of [[1, 1], [0, 1]], Spread: 0.5
0.0014242564539427387, Z: 50 of [[1, 1], [0, 1]], Spread: 0.5
0.0012486777288047706, Z: 50 of [[1, 1], [0, 1]], Spread: 0.5
0.0011481425237971777, Z: 50 of [[1, 1], [0, 1]], Spread: 0.5
0.0011557650283343828, Z: 50 of [[1, 1], [0, 1]], Spread: 0.5
0.001145446127634357, Z: 50 of [[1, 1], [0, 1]], Spread: 0.5
0.0011766435793918292, Z: 50 of [[1, 1], [0, 1]], Spread: 0.5
0.0012975091670061854, Z: 50 of [[1, 1], [0, 1]], Spread: 0.5
______________________________________
0.0012147968443275677, Z: 50 of [[1, 1], [0, 1]], Reputation spread rate: 1.0
0.001370143338642172, Z: 50 of [[1, 1], [0, 1]], Reputation spread rate: 1.0
0.0012397940664469055, Z: 50 of [[1, 1], [0, 1]], Reputation spread rate: 1.0
0.0014255176117633987, Z: 50 of [[1, 1], [0, 1]], Reputation spread rate: 1.0
0.001256848401792659, Z: 50 of [[1, 1], [0, 1]], Reputation spread rate: 1.0
0.013012828252898255, Z: 50 of [[1, 1], [0, 1]], Reputation spread rate: 1.0
0.008472567502500092, Z: 50 of [[1, 1], [0, 1]], Reputation spread rate: 1.0
0.003337143968295122, Z: 50 of [[1, 1], [0, 1]], Reputation spread rate: 1.0

0.0012267102485277234, Z: 50 of [[1, 0], [0, 1]], Reputation spread rate: 1.0
0.0013470776695433163, Z: 50 of [[1, 0], [0, 1]], Reputation spread rate: 1.0
0.0012558854031630802, Z: 50 of [[1, 0], [0, 1]], Reputation spread rate: 1.0
0.0012650653727915848, Z: 50 of [[1, 0], [0, 1]], Reputation spread rate: 1.0
0.0011448831438201415, Z: 50 of [[1, 0], [0, 1]], Reputation spread rate: 1.0
0.008010648542538612, Z: 50 of [[1, 0], [0, 1]], Reputation spread rate: 1.0
0.0012658876254676098, Z: 50 of [[1, 0], [0, 1]], Reputation spread rate: 1.0
0.001200107411385607, Z: 50 of [[1, 0], [0, 1]], Reputation spread rate: 1.0

0.0025101040779288123, Z: 50 of [[0, 0], [0, 0]], Reputation spread rate: 1.0
0.0009361717100633357, Z: 50 of [[0, 0], [0, 0]], Reputation spread rate: 1.0
0.0013892551575984296, Z: 50 of [[0, 0], [0, 0]], Reputation spread rate: 1.0
0.0037596503574206454, Z: 50 of [[0, 0], [0, 0]], Reputation spread rate: 1.0
0.011797442497870292, Z: 50 of [[0, 0], [0, 0]], Reputation spread rate: 1.0
0.0009652320456313197, Z: 50 of [[0, 0], [0, 0]], Reputation spread rate: 1.0
0.011441910811511538, Z: 50 of [[0, 0], [0, 0]], Reputation spread rate: 1.0
0.008712759731841921, Z: 50 of [[0, 0], [0, 0]], Reputation spread rate: 1.0
0.0013763861624504611, Z: 50 of [[1, 1], [0, 0]], Reputation spread rate: 1.0
0.012082795659098484, Z: 50 of [[1, 1], [0, 0]], Reputation spread rate: 1.0
0.001560594836845809, Z: 50 of [[1, 1], [0, 0]], Reputation spread rate: 1.0
0.001291381162265269, Z: 50 of [[1, 1], [0, 0]], Reputation spread rate: 1.0
0.0013694784992036742, Z: 50 of [[1, 1], [0, 0]], Reputation spread rate: 1.0
0.005360526315789474, Z: 50 of [[1, 1], [0, 0]], Reputation spread rate: 1.0
0.02288650135190192, Z: 50 of [[1, 1], [0, 0]], Reputation spread rate: 1.0
0.009059111448572169, Z: 50 of [[1, 1], [0, 0]], Reputation spread rate: 1.0
________________
0.007907328049187007, Z: 50 of [[1, 1], [0, 1]], Spread: 1.75
0.007024699062928257, Z: 50 of [[1, 1], [0, 1]], Spread: 1.75
0.009781149301825994, Z: 50 of [[1, 1], [0, 1]], Spread: 1.75
0.02416148746249861, Z: 50 of [[1, 1], [0, 1]], Spread: 1.75
0.014960998555502055, Z: 50 of [[1, 1], [0, 1]], Spread: 1.75
0.001211100411126338, Z: 50 of [[1, 1], [0, 1]], Spread: 1.75
0.021255361309678138, Z: 50 of [[1, 1], [0, 1]], Spread: 1.75
0.017912063409755916, Z: 50 of [[1, 1], [0, 1]], Spread: 1.75

0.6775672802696396, Z: 50 of [[1, 0], [0, 1]], Spread: 1.75
0.6612536519871106, Z: 50 of [[1, 0], [0, 1]], Spread: 1.75
0.6787148986999518, Z: 50 of [[1, 0], [0, 1]], Spread: 1.75
________________
0.0012431404866846921, Z: 50 of [[1, 1], [0, 1]], Reputation spread rate: 3
0.00929292751583392, Z: 50 of [[1, 1], [0, 1]], Reputation spread rate: 3
