0.15337145693132198, Z: 5 of [[1, 1], [0, 1]]
0.19795832577157693, Z: 5 of [[1, 1], [0, 1]]
0.14139017181545116, Z: 5 of [[1, 1], [0, 1]]
0.15082904010755596, Z: 5 of [[1, 1], [0, 1]]
0.1567701917414509, Z: 5 of [[1, 1], [0, 1]]
0.1600098148511661, Z: 5 of [[1, 1], [0, 1]]
0.16959618368956922, Z: 5 of [[1, 1], [0, 1]]
0.163437753473161, Z: 5 of [[1, 1], [0, 1]]

Spread = 1.0
0.27785408464475797, Z: 5 of [[1, 1], [0, 1]]
0.29503061122448604, Z: 5 of [[1, 1], [0, 1]]
0.275724984166608, Z: 5 of [[1, 1], [0, 1]]
0.27256363912458936, Z: 5 of [[1, 1], [0, 1]]
0.2673432679380294, Z: 5 of [[1, 1], [0, 1]]
0.2772551009448183, Z: 5 of [[1, 1], [0, 1]]
0.23859251330560483, Z: 5 of [[1, 1], [0, 1]]
0.24533853829088256, Z: 5 of [[1, 1], [0, 1]]
0.5203031677895104, Z: 5 of [[1, 0], [0, 1]]
0.52337460509113, Z: 5 of [[1, 0], [0, 1]]
0.5371173041381635, Z: 5 of [[1, 0], [0, 1]]
0.5530042518675995, Z: 5 of [[1, 0], [0, 1]]
0.5264276719543406, Z: 5 of [[1, 0], [0, 1]]
0.5178925847873511, Z: 5 of [[1, 0], [0, 1]]
0.5126848247586102, Z: 5 of [[1, 0], [0, 1]]
0.5654730017518583, Z: 5 of [[1, 0], [0, 1]]
0.0144745165722836, Z: 5 of [[0, 0], [0, 0]]
0.013953051677969178, Z: 5 of [[0, 0], [0, 0]]
0.014892314415979319, Z: 5 of [[0, 0], [0, 0]]
0.01543207567435435, Z: 5 of [[0, 0], [0, 0]]
0.015307019655628354, Z: 5 of [[0, 0], [0, 0]]
0.014785314019681554, Z: 5 of [[0, 0], [0, 0]]
0.015142389416257097, Z: 5 of [[0, 0], [0, 0]]
0.014128256030577891, Z: 5 of [[0, 0], [0, 0]]
0.10308558550216852, Z: 5 of [[1, 1], [0, 0]]
0.10486053652050563, Z: 5 of [[1, 1], [0, 0]]
0.10543781643635718, Z: 5 of [[1, 1], [0, 0]]
0.10192441453486865, Z: 5 of [[1, 1], [0, 0]]
0.10543387197730363, Z: 5 of [[1, 1], [0, 0]]
0.10723976755469465, Z: 5 of [[1, 1], [0, 0]]
0.11062857640213482, Z: 5 of [[1, 1], [0, 0]]
0.10958807254841685, Z: 5 of [[1, 1], [0, 0]]

0.27951455375760653, Z: 5 of [[1, 1], [0, 1]]
0.2649012403749644, Z: 5 of [[1, 1], [0, 1]]
0.28929488627735656, Z: 5 of [[1, 1], [0, 1]]
0.29722652676491396, Z: 5 of [[1, 1], [0, 1]]
0.2880029740850892, Z: 5 of [[1, 1], [0, 1]]
0.28339727184174757, Z: 5 of [[1, 1], [0, 1]]
0.26449077589176256, Z: 5 of [[1, 1], [0, 1]]
0.2449517590805892, Z: 5 of [[1, 1], [0, 1]]
0.551605283723273, Z: 5 of [[1, 0], [0, 1]]
0.5175724724906389, Z: 5 of [[1, 0], [0, 1]]
0.5390293852940196, Z: 5 of [[1, 0], [0, 1]]
0.5162765232463824, Z: 5 of [[1, 0], [0, 1]]
0.5231397894066274, Z: 5 of [[1, 0], [0, 1]]
0.5548424808980774, Z: 5 of [[1, 0], [0, 1]]
0.5585572353971682, Z: 5 of [[1, 0], [0, 1]]
0.5470571002114822, Z: 5 of [[1, 0], [0, 1]]
0.01561703932236786, Z: 5 of [[0, 0], [0, 0]]
0.01608685587724399, Z: 5 of [[0, 0], [0, 0]]
0.015094537387175509, Z: 5 of [[0, 0], [0, 0]]
0.015718928588624403, Z: 5 of [[0, 0], [0, 0]]
0.01564265052833529, Z: 5 of [[0, 0], [0, 0]]
0.014318293771458412, Z: 5 of [[0, 0], [0, 0]]
0.015981559190959966, Z: 5 of [[0, 0], [0, 0]]
0.01492133304197423, Z: 5 of [[0, 0], [0, 0]]
0.1069384516238949, Z: 5 of [[1, 1], [0, 0]]
0.10497357397619991, Z: 5 of [[1, 1], [0, 0]]
0.1038056807617806, Z: 5 of [[1, 1], [0, 0]]
0.1126762691713673, Z: 5 of [[1, 1], [0, 0]]
0.10769226923062677, Z: 5 of [[1, 1], [0, 0]]
0.10849382775491762, Z: 5 of [[1, 1], [0, 0]]
0.11906397801473338, Z: 5 of [[1, 1], [0, 0]]
0.10764343571642858, Z: 5 of [[1, 1], [0, 0]]

