Generation Number,AllD Count,pDisc Count,Disc Count,AllC Count,AllD Ratio,pDisc Ratio,Disc Ratio,AllC Ratio,
0,18,12,9,11,0.36,0.24,0.18,0.22,,
300,33,2,11,4,0.66,0.04,0.22,0.08,,
600,48,1,1,0,0.96,0.02,0.02,0.0,,
900,50,0,0,0,1.0,0.0,0.0,0.0,,
1200,50,0,0,0,1.0,0.0,0.0,0.0,,
1500,49,0,0,1,0.98,0.0,0.0,0.02,,
1800,50,0,0,0,1.0,0.0,0.0,0.0,,
2100,50,0,0,0,1.0,0.0,0.0,0.0,,
2400,50,0,0,0,1.0,0.0,0.0,0.0,,
2700,50,0,0,0,1.0,0.0,0.0,0.0,,
3000,50,0,0,0,1.0,0.0,0.0,0.0,,
3300,49,1,0,0,0.98,0.02,0.0,0.0,,
3600,50,0,0,0,1.0,0.0,0.0,0.0,,
3900,50,0,0,0,1.0,0.0,0.0,0.0,,
4200,50,0,0,0,1.0,0.0,0.0,0.0,,
4500,50,0,0,0,1.0,0.0,0.0,0.0,,
4800,50,0,0,0,1.0,0.0,0.0,0.0,,
5100,50,0,0,0,1.0,0.0,0.0,0.0,,
5400,50,0,0,0,1.0,0.0,0.0,0.0,,
5700,50,0,0,0,1.0,0.0,0.0,0.0,,
6000,50,0,0,0,1.0,0.0,0.0,0.0,,
6300,50,0,0,0,1.0,0.0,0.0,0.0,,
6600,50,0,0,0,1.0,0.0,0.0,0.0,,
6900,50,0,0,0,1.0,0.0,0.0,0.0,,
7200,50,0,0,0,1.0,0.0,0.0,0.0,,
7500,50,0,0,0,1.0,0.0,0.0,0.0,,
7800,50,0,0,0,1.0,0.0,0.0,0.0,,
8100,50,0,0,0,1.0,0.0,0.0,0.0,,
8400,50,0,0,0,1.0,0.0,0.0,0.0,,
8700,50,0,0,0,1.0,0.0,0.0,0.0,,
9000,50,0,0,0,1.0,0.0,0.0,0.0,,
9300,50,0,0,0,1.0,0.0,0.0,0.0,,
9600,50,0,0,0,1.0,0.0,0.0,0.0,,
9900,50,0,0,0,1.0,0.0,0.0,0.0,,
10200,50,0,0,0,1.0,0.0,0.0,0.0,,
10500,50,0,0,0,1.0,0.0,0.0,0.0,,
10800,50,0,0,0,1.0,0.0,0.0,0.0,,
11100,49,0,0,1,0.98,0.0,0.0,0.02,,
