PopulationSize,CooperationIndex,CooperationIndexMin,CooperationIndexMax,CooperationIndexZeroProportion,CooperationIndexWithoutZeros
5,0.5567195304475144,0.0,1.0,0.28634665064102566,0.7800951311720178,
10,0.7178547584137532,0.0,1.0,0.1726964583333333,0.8676888598286556,
20,0.7643128437516372,0.0,1.0,0.14558471153846153,0.8944771899689378,
30,0.7489898054243211,0.0,1.0,0.15831028846153847,0.8892733609636313,
40,0.7074726380209022,0.0,1.0,0.18661480769230765,0.869099708098457,
50,0.8347106646650909,0.0,0.99,0.07426158653846154,0.9008942752697442,
60,0.8389906979282109,0.0,0.9916666666666667,0.07642871794871794,0.9072601092692577,
70,0.7676155977437875,0.0,0.9928571428571429,0.12957886217948716,0.8786978137869024,
80,0.708101935644516,0.0,0.99375,0.1718409615384615,0.8495175843701599,
90,0.7093834354110804,0.0,0.9944444444444445,0.17145663461538463,0.8548710552058315,
100,0.6715742560013243,0.0,0.9875,0.1852234294871795,0.820141080884701,
110,0.7304237940616962,0.0,0.990909090909091,0.1476398717948718,0.8524807872855056,
120,0.6060606289720103,0.0,0.9895833333333334,0.2355494871794872,0.7814527036034418,
