0.0008586377307496816, Z: 70 of [[1, 1], [0, 1]]
0.6142549683828524, Z: 70 of [[1, 1], [0, 1]]
0.0009609067784205809, Z: 70 of [[1, 1], [0, 1]]
0.8350724552532808, Z: 70 of [[1, 1], [0, 1]]
0.0016516874441521309, Z: 70 of [[1, 1], [0, 1]]
0.001161280555200547, Z: 70 of [[1, 1], [0, 1]]
0.0007441287000162838, Z: 70 of [[1, 1], [0, 1]]
0.0006163775254450147, Z: 70 of [[1, 1], [0, 1]]
0.0006864606717082474, Z: 70 of [[1, 0], [0, 1]]
0.8340885668850333, Z: 70 of [[1, 0], [0, 1]]
0.834185941885406, Z: 70 of [[1, 0], [0, 1]]
0.8340846263499717, Z: 70 of [[1, 0], [0, 1]]
0.8341202176521099, Z: 70 of [[1, 0], [0, 1]]
0.8341425765400396, Z: 70 of [[1, 0], [0, 1]]
0.8341473538307335, Z: 70 of [[1, 0], [0, 1]]
0.8340992111946139, Z: 70 of [[1, 0], [0, 1]]
0.0009228635878207811, Z: 70 of [[0, 0], [0, 0]]
0.0006507234238636115, Z: 70 of [[0, 0], [0, 0]]
0.0006376077663370713, Z: 70 of [[0, 0], [0, 0]]
0.0004388977710386438, Z: 70 of [[0, 0], [0, 0]]
0.0007317914197910949, Z: 70 of [[0, 0], [0, 0]]
0.00239054263795588, Z: 70 of [[0, 0], [0, 0]]
0.0007066109140949628, Z: 70 of [[0, 0], [0, 0]]
0.0007344184431828324, Z: 70 of [[0, 0], [0, 0]]
0.2062927621033013, Z: 70 of [[1, 1], [0, 0]]
0.13422094940227994, Z: 70 of [[1, 1], [0, 0]]
0.16060827072587613, Z: 70 of [[1, 1], [0, 0]]
0.0728822786061512, Z: 70 of [[1, 1], [0, 0]]
0.08704757792335796, Z: 70 of [[1, 1], [0, 0]]
0.2349193095173458, Z: 70 of [[1, 1], [0, 0]]
0.06320217416341833, Z: 70 of [[1, 1], [0, 0]]
0.0006015688972882473, Z: 70 of [[1, 1], [0, 0]]
